tipo,tamanho,val1,val2,val3,val4,val5,val6,val7,val8
geracao,100000,0.001028,0.000991,0.000978,0.000989,0.000996
ordenacao,100000,0.017404,0.014113,0.011539,0.010197,0.013313
geracao,200000,0.001095,0.001059,0.001053,0.001060,0.001067
ordenacao,200000,0.018483,0.016900,0.016051,0.015983,0.016854
geracao,300000,0.001280,0.001259,0.001276,0.001255,0.001267
ordenacao,300000,0.025061,0.025005,0.025202,0.024852,0.025030
geracao,500000,0.002113,0.002095,0.002091,0.002069,0.002092
ordenacao,500000,0.043404,0.043234,0.043413,0.043091,0.043285
pesquisa,100000,Inicio,278,0.000000002,0.000000027,1,16,0,0
pesquisa,100000,25%,539394639,0.000016504,0.000000030,25001,16,25000,25000
pesquisa,100000,Centro,1074291905,0.000033434,0.000000031,50001,16,50000,50000
pesquisa,100000,75%,1607611327,0.000050188,0.000000031,75001,16,75000,75000
pesquisa,100000,Final,2147475335,0.000067248,0.000000034,100000,17,99999,99999
pesquisa,100000,NaoExiste,-1,0.000067446,0.000000030,100000,16,-1,-1
pesquisa,200000,Inicio,278,0.000000002,0.000000032,1,17,0,0
pesquisa,200000,25%,540021314,0.000033508,0.000000032,50001,17,50000,50000
pesquisa,200000,Centro,1073671318,0.000067090,0.000000033,100001,17,100000,100000
pesquisa,200000,75%,1609086257,0.000100927,0.000000033,150001,17,150000,150000
pesquisa,200000,Final,2147475335,0.000135327,0.000000037,200000,18,199999,199999
pesquisa,200000,NaoExiste,-1,0.000134876,0.000000033,200000,17,-1,-1
pesquisa,300000,Inicio,278,0.000000002,0.000000034,1,18,0,0
pesquisa,300000,25%,539362094,0.000050774,0.000000035,75001,18,75000,75000
pesquisa,300000,Centro,1077521294,0.000101504,0.000000036,150001,18,150000,150000
pesquisa,300000,75%,1612405599,0.000152690,0.000000036,225001,18,225000,225000
pesquisa,300000,Final,2147482024,0.000203611,0.000000040,300000,19,299999,299999
pesquisa,300000,NaoExiste,-1,0.000204140,0.000000035,300000,18,-1,-1
pesquisa,500000,Inicio,278,0.000000002,0.000000034,1,18,0,0
pesquisa,500000,25%,538615379,0.000084907,0.000000035,125001,18,125000,125000
pesquisa,500000,Centro,1075668408,0.000170254,0.000000035,250001,18,250000,250000
pesquisa,500000,75%,1612487237,0.000254838,0.000000036,375001,18,375000,375000
pesquisa,500000,Final,2147483025,0.000340368,0.000000039,500000,19,499999,499999
pesquisa,500000,NaoExiste,-1,0.000339616,0.000000035,500000,18,-1,-1
